title,link
IBM Announces Strategic Collaboration with Arm,https://newsroom.ibm.com/2026-04-02-ibm-announces-strategic-collaboration-with-arm-to-shape-the-future-of-enterprise-computing
Bringing Clojure programming to Enterprise (2021),https://blogit.michelin.io/clojure-programming/
Live: Artemis II Launch Day Updates,https://www.nasa.gov/blogs/missions/2026/04/01/live-artemis-ii-launch-day-updates/
Email obfuscation: What works in 2026?,https://spencermortensen.com/articles/email-obfuscation/
Steam on Linux Use Skyrocketed Above 5% in March,https://www.phoronix.com/news/Steam-On-Linux-Tops-5p
Quantum computing bombshells that are not April Fools,https://scottaaronson.blog/?p=9665
EmDash – A spiritual successor to WordPress that solves plugin security,https://blog.cloudflare.com/emdash-wordpress/
Mercor says it was hit by cyberattack tied to compromise LiteLLM,https://techcrunch.com/2026/03/31/mercor-says-it-was-hit-by-cyberattack-tied-to-compromise-of-open-source-litellm-project/
A new C++ back end for ocamlc,https://github.com/ocaml/ocaml/pull/14701
"Telli (YC F24) is hiring engineers, designers, and more [on-site, Berlin]",http://hi.telli.com/join-us
DRAM pricing is killing the hobbyist SBC market,https://www.jeffgeerling.com/blog/2026/dram-pricing-is-killing-the-hobbyist-sbc-market/
AI Perfected Chess. Humans Made It Unpredictable Again,https://www.bloomberg.com/news/articles/2026-03-27/ai-changed-chess-grandmasters-now-win-with-unpredictable-moves
Fast and Gorgeous Erosion Filter,https://blog.runevision.com/2026/03/fast-and-gorgeous-erosion-filter.html
Show HN: NASA Artemis II Mission Timeline Tracker,https://www.sunnywingsvirtual.com/artemis2/timeline.html
What Gödel Discovered (2020),https://stopa.io/post/269
Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,https://github.com/hauntsaninja/git_bayesect
We will all work for AGI,https://indiansinai.com/stories/we-will-work-for-agi
AI for American-produced cement and concrete,https://engineering.fb.com/2026/03/30/data-center-engineering/ai-for-american-produced-cement-and-concrete/
Gone (Almost) Phishin',https://ma.tt/2026/03/gone-almost-phishin/
Subscription bombing and how to mitigate it,https://bytemash.net/posts/subscription-bombing-your-signup-form-is-a-weapon/
Built a cheap DIY fan controller because my motherboard never had working PWM,https://www.himthe.dev/blog/msi-forgot-my-fans
Ask HN: Who is hiring? (April 2026),item?id=47601859
New laws to make it easier to cancel subscriptions and get refunds,https://www.bbc.co.uk/news/articles/cvg0v36ek2go
Signing data structures the wrong way,https://blog.foks.pub/posts/domain-separation-in-idl/
"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",https://getdull.app
The Windows equivalents of the most used Linux commands,http://techkettle.blogspot.com/2026/04/the-windows-equivalents-of-most-used.html
Weather.com/Retro,https://weather.com/retro/
The revenge of the data scientist,https://hamel.dev/blog/posts/revenge/
SpaceX files to go public,https://www.nytimes.com/2026/04/01/technology/spacex-ipo-elon-musk.html
Trinity Large Thinking,https://openrouter.ai/arcee-ai/trinity-large-thinking
